,Date,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal (Y/N),Time,Species 
5523,22-Nov-1920,1920.0,Unprovoked,AUSTRALIA,Western Australia,Cottesloe Beach,Standing,M,Survived,N,,"15* to 24"" dog shark"
5524,04-Nov-1920,1920.0,Sea Disaster,PHILIPPINES,Leyte,,The coastwise steamer San Basilio capsized in a typhoon,M,Fatal,Y,,
5526,Reported 06-Jul-1920,1920.0,Unprovoked,AUSTRALIA,Torres Strait,200 miles from MacKay,Diving for trochus shell,M,Survived,N,,
5527,29-Jun-1920,1920.0,Unprovoked,USA,Florida,"Englewood Beach, Charlotte County",Swimming ,M,Survived,N,18h30,
5528,27-Jun-1920,1920.0,Provoked,CANADA,Halifax,"Slaunwhite's Ledge, Hubbard Cove",Harpooned shark,M,No Injury,N,,15'
5529,08-Mar-1920,1920.0,Unprovoked,AUSTRALIA,Queensland,"Between Bay Rock & Magnetic Island, Cleveland Bay","Boat capsized, swimming to shore",M,Survived,N,,
5530,Reported 24-Jan-1920,1920.0,Unprovoked,AUSTRALIA,Torres Strait,,Diving,M,Survived,N,,
5531,03-Feb-1920,1920.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Zwartkops River,Floating face down,F,Survived,N,17h30,
5532,Reported 24-Jan-1920,1920.0,Unprovoked,AUSTRALIA,Torres Strait,Arlington Reef,Free diving,M,Fatal,Y,,
5533,15-Jan-1920,1920.0,Unprovoked,AUSTRALIA,New South Wales,"Throsby Creek, Newcastle",Swimming ,M,Survived,Y,10h00,
5534,1920s,1920.0,Unprovoked,JAMAICA,Westmoreland Parish,Savanna-la-Mar,Jumped overboard,M,Fatal,Y,,
5535,1920,1920.0,Unprovoked,NEW ZEALAND,North Island,"Stanley Bay, Auckland Harbor",,F,Survived,N,,
5536,1920,1920.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Tugela River,Splashing,M,Survived,N,,
5537,Reported 30-Dec-1919,1919.0,Unprovoked,AUSTRALIA,Queensland,Brible Island,Swimming,M,Survived,N,,
5538,07-Dec-1919,1919.0,Unprovoked,AUSTRALIA,New South Wales,"Pelican Island, Macleay River",Swimming,M,Fatal,Y,05h30,
5539,18-Nov-1919,1919.0,Unprovoked,AUSTRALIA,Northern Territory,Darwin,Sitting in a boat,M,Survived,N,,
5540,12-Sep-1919,1919.0,Unprovoked,COSTA RICA,Turtle Bogue,Where Colorado River enters the sea,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,M,Fatal,Y,,
5541,10-Aug-1919,1919.0,Unprovoked,USA,Florida,"Gadsden Point, Tampa Bay",Swimming,M,Survived,N,Afternoon,
5542,29-May-1919,1919.0,Unprovoked,USA,South Carolina,"James Island Sound, Charleston","""Swimming vigorously""",M,Survived,N,12h00,
